Breath Number	Tracer Cet [%]	LCI	FRC [l]	Tracer Initial [%]	Tracer Normalized [%]	VolumeInsp[ml]	Volume Exp [ml}	CEV [l]	CEV-DS [l]	Tracer Exp [ml]	Tracer Netto [ml]	Tracer CEV [ml]	Tracer Reinsp [ml]	Flow Insp Mean [ml/s]	Flow Exp Mean [ml/s]	
39	2.77394	4.81182	4.05247	77.7983	3.56555	499.99	499.99	19.4997	19.4997	10.0004	10.0004	3040.33	0	312.501	312.501	
40	2.54644	4.93526	4.05241	77.7983	3.27314	499.99	499.99	19.9997	19.9997	9.18009	9.18009	3049.51	0	312.501	312.501	
41	2.33761	5.0587	4.05237	77.7983	3.00471	499.99	499.99	20.4997	20.4997	8.42712	8.42712	3057.94	0	312.501	312.501	
42	2.1459	5.18214	4.05232	77.7983	2.75829	499.99	499.99	20.9997	20.9997	7.73591	7.73591	3065.68	0	312.501	312.501	
43	1.96992	5.30557	4.05228	77.7983	2.53208	499.99	499.99	21.4997	21.4997	7.1014	7.1014	3072.78	0	312.501	312.501	
44	1.80836	5.42901	4.05225	77.7983	2.32443	499.99	499.99	21.9997	21.9997	6.51893	6.51893	3079.3	0	312.501	312.501	
45	1.66006	5.55244	4.05221	77.7983	2.1338	499.99	499.99	22.4997	22.4997	5.98425	5.98425	3085.28	0	312.501	312.501	
46	1.52392	5.67587	4.05218	77.7983	1.95881	499.99	499.99	22.9996	22.9996	5.49342	5.49342	3090.78	0	312.501	312.501	
47	1.39894	5.79929	4.05215	77.7983	1.79817	499.99	499.99	23.4996	23.4996	5.04285	5.04285	3095.82	0	312.501	312.501	
48	1.28422	5.92272	4.05213	77.7983	1.6507	499.99	499.99	23.9996	23.9996	4.62924	4.62924	3100.45	0	312.501	312.501	
49	1.1789	6.04615	4.05211	77.7983	1.51533	499.99	499.99	24.4996	24.4996	4.24955	4.24955	3104.7	0	312.501	312.501	
